LOC;KTR;ALT
bsas;0,799665;25
hombrem;0.862772;3966
ero;0,863758;4515
jvg;0,783684;386
lujan;0,501854;21
laquiaca;0,826994;3340
salta;0,807299;1190
tafivalle;0,811713;2014
tilca;0,814899;2488
iru;0,820196;2780
tolarg;0,859299;3508
lavi–a;0,80913;1265
